order,province,mountain_name,verification_point,altitude_m,location,forest_service_match,coordinate_status
1,서울,관악산,정상,629,"서울특별시 관악구, 금천구, 경기도 안양시, 과천시",관악산,pending
2,서울,도봉산,신선대,740,서울특별시 도봉구 도봉동,도봉산(자운봉),pending
3,서울,북한산,백운대,837,서울특별시 성북구 정릉동 산1-1,북한산(백운대),pending
4,서울,수락산,주봉,640,서울특별시 노원구 상계동,,pending
5,서울,청계산,매봉,582,"서울특별시 서초구 신원동, 경기도 과천시 막계동, 의왕시 청계동, 성남시 수정구",,pending
6,부산,금정산,고당봉,802,"부산광역시 금정구, 경상남도 양산시 동면 가산리 산1-1",금정산,pending
7,대구,비슬산,천왕봉,1084,대구광역시 달성군 유가면,비슬산(천왕봉),pending
8,인천,마니산(강화도),정상,472,인천광역시 강화군 화도읍,마니산,pending
9,광주,무등산,서석대/인왕봉,1100,광주광역시 동구 지산동,무등산,pending
10,대전,계룡산,관음봉,766,"대전광역시, 충남 공주시",계룡산,pending
11,울산,신불산,정상,1159,울산광역시 울주군 상북면,신불산,pending
12,울산,가지산,정상,1241,울산광역시 울주군 상북면,가지산,pending
13,경기도,연인산,정상,1068,경기도 가평군 가평읍 승안리,,pending
14,경기도,명지산,정상,1267,경기도 가평군 북면,명지산,pending
15,경기도,화악산,중봉,1446,경기도 가평군 북면,화악산,pending
16,경기도,유명산,정상,862,경기도 가평군 설악면,유명산,pending
17,경기도,감악산,정상,674,경기도 파주시 적성면 설마리,감악산,pending
18,경기도,천마산,정상석,812,경기도 남양주시 화도읍,천마산,pending
19,경기도,소요산,의상대,587,경기도 동두천시 소요동,소요산,pending
20,경기도,용문산,가섭봉 정상석,1157,경기도 양평군 용문면 신점리 625,용문산,pending
21,강원도,감악산(원주/제천),원주/제천 정상석,945,"강원 원주시 신림면 용암리, 충북 제천시",,pending
22,강원도,가리산,정상,1051,강원도 홍천군 두촌면,가리산,pending
23,강원도,가리왕산,정상,1561,강원도 정선군 정선읍 회동리,가리왕산,pending
24,강원도,계방산,정상,1577,강원도 평창군 용평면 노동리,계방산,pending
